"name";"lat";"lon"
"xidian univ";34,1235825;108,83546
"univ nottingham ningbo";29,8024045;121,5594419
"beihang univ";39,9808333;116,3410125
"arizona state univ";38,9011733;-77,0419523
"zagazig univ";30,5884054;31,48210745
"peking univ";39,9917393;116,3039803
"tsinghua univ";40,00229045;116,3209891
"univ hamburg";53,5405721;9,994371907
"xi an jiao tong univ";31,2041503;121,4306485
"city univ hong kong";54,0856448;13,389089
"nanjing univ";32,0565957;118,7740883
"griffith univ";-27,54662495;153,0642922
"australian catholic univ";-27,37815905;153,0894647
"victoria univ";43,667176;-79,3932816
"univ calif san diego";32,7748159;-117,0738505
"gachon univ seoul";37,4486992;127,1267248
"shaanxi normal univ";34,15527855;108,8866523
"temple univ";39,9808569;-75,149594
"it univ copenhagen";55,65965525;12,59107689
"univ gothenburg";57,6985351;11,97124815
"southern methodist univ";32,84180115;-96,7815281
"monash univ";-37,78397455;144,9586743
"sch automat";51,0328723;13,7244455
"inst automat";-34,6020073;-58,3941791
"sangmyung univ";37,60250205;126,9548314
"bcc res";34,03916915;-78,23023553
"kobe univ";34,7275714;135,2371
"gifu univ";35,46440655;136,7379851
"nottingham trent univ";52,9577322;-1,156170993
"univ limerick";52,67375155;-8,570985623
"univ tartu";43,66723505;-79,40257041
"univ gottingen";51,52850795;9,932326043
"univ peshawar";34,0092004;71,48774947
"univ surrey";51,24303255;-0,590013825
"univ salerno";35,3229297;-80,7440056
"univ sydney";-33,88890695;151,1894337
"univ new south wales";-32,8870387;151,7098651
"chinese univ hong kong";22,417511;114,2038385
"kyushu univ";33,59914655;130,2235985
"penn state univ";41,1272027;-78,7520584
"st joseph univ beirut";33,8899823;35,50859785
"jinan univ";34,4098375;35,8467943
"univ hong kong";54,0856448;13,389089
"univ vaasa";63,10450795;21,59325662
"univ malaysia pahang";3,5280581;103,3868759
"univ malaya";3,12267405;101,653561
"taylors univ";-37,7104011;144,746288
"york univ";43,7740965;-79,4995213
"goldsmiths univ london";51,4737117;-0,038045718
"univ florida";28,59757;-81,2422
"clemson univ";34,66869155;-82,83743476
"univ salamanca";-41,2850601;174,7695705
"yonsei univ";37,5600406;126,9369248
"east carolina univ";35,60737685;-77,36715661
"calif state univ bakersfield";35,34926755;-119,1033258
"univ kent";41,1443525;-81,33982833
"northeastern univ";42,33895765;-71,08806748
"iowa state univ";42,02791015;-93,64464415
"univ bologna";44,4947702;11,3558967
"univ london";51,5217668;-0,130190717
"univ melbourne";-37,72131975;145,0488098
"univ houston";39,6392442;-79,9555209
"macquarie univ";-33,77741365;151,1181983
"univ kassel";51,30370625;9,414465124
"univ sheffield";33,4390365;-88,8090205
"bocconi univ";45,4497194;9,188708076
"univ bergen";40,8664885;-74,0926419
"asia univ";35,70599945;139,5345022
"sun yat sen univ";23,09461185;113,2878899
"dongguk univ seoul";37,5590607;127,005727
"univ a coruna";42,87429695;-8,55595263
"univ ljubljana";46,0754241;14,51878526
"univ lapland";66,4856234;25,71856845
"univ thessaly";39,3608248;22,9500193
"fudan univ";31,30104395;121,500455
"univ west scotland";55,9441283;-3,188406361
"xian jiaotong liverpool univ";31,2754376;120,7356342
"univ mhamed bougara";36,76270575;3,474665509
"chulalongkorn univ";13,74311795;100,532879
"old dominion univ";36,885682;-76,30768579
"purdue univ";40,43195815;-86,92391089
"north carolina state univ";35,77184965;-78,67408695
"univ tasmania";-42,9070652;147,3214848
"towson univ";39,3853232;-76,60733188
"shanghai jiao tong univ";31,20081505;121,4284068
"wayne state univ";42,3581171;-83,0682835
"univ texas san antonio";26,30635135;-98,17540412
"washington state univ";48,00499755;-122,1974489
"indian inst tech delhi";28,5444176;77,1893001
"ramon llull univ";39,60872805;2,673586946
"linkoping univ";58,403261;15,62361119
"stern sch business";-28,1994443;152,4439218
"nanyang tech univ";14,59232885;121,0287518
"elizade univ";-2,2400204;-79,89447107
"univ oberta catalunya";41,4065855;2,194509849
"univ autonoma barcelona";41,5465346;2,1193357
"frankfurt sch finance and management";50,1326198;8,680232325
"silesian tech univ";50,556315;18,88619985
"univ coll cork";51,89260255;-8,49316576
"univ lancaster";40,7330437;-73,99500046
"chandigarh univ";30,76046215;76,7663284
"saunders coll business";41,2260007;-96,6520834
"univ luxembourg";49,5022133;5,947163612
"univ brighton";50,8239606;-0,135081389
"univ amer";28,31736115;76,91555341
"liuc univ cattaneo";45,61257025;8,90160556
"guangzhou univ";23,04436505;113,3666846
"univ ghardaia";32,3891206;3,768669812
"usthb univ";36,70598225;3,172003827
"guelma univ";36,44477425;7,423218203
"hanbat natl univ";36,35020605;127,3003454
"nord univ";67,289198;14,5604336
"univ ljubljani";46,0500394;14,46900163
"dublin city univ";53,3711774;-6,248490003
"humboldt univ";52,51875685;13,39356049
"charles univ prague";50,0864618;14,4189931
"islamia univ bahawalpur";29,3982985;71,6910248
"univ sialkot";32,4886618;74,5134667
"sungshin univ";37,5926755;127,0164764
"univ utara malaysia";1,45892585;103,7487227
"univ malaysia perlis";6,4621477;100,1631751
"univ granada";37,936437;-88,6094993
"szechenyi istvan univ";47,50091815;19,05015578
"turk alman univ";41,02451875;28,97697953
"univ quebec chicoutimi";48,4182148;-71,03684786
"innopolis univ";55,7538138;48,74247437
"bina nusantara univ";-6,30452855;106,6874347
"univ padjadjaran";-6,92088225;107,7721925
"univ autonoma madrid";40,5406143;-3,6968968
"darmstadt business sch";50,3495613;8,484466569
"univ texas el paso";31,7719749;-106,4348844
"res lab";48,36158975;16,96210042
"univ new south wales sydney";-33,88890695;151,1894337
"univ wisconsin";43,210308;-90,296735
"florida int univ";19,3557173;-99,14096982
"otto von guericke univ";52,14005065;11,64471248
"al nahrain univ";33,27861105;44,37550477
"shantou univ";23,41632475;116,6290685
"univ calif santa barbara";34,4344251;-119,7138033
"ton duc thang univ";10,732027;106,6984982
"univ sains malaysia";5,35751445;100,3035436
"sangji univ";37,3697914;127,9291055
"tel aviv univ";32,1119889;34,80459702
"univ ontario";46,4666416;-80,9738711
"univ geneva";46,19924815;6,147211872
"edinburgh napier univ";55,9360357;-3,2265093
"univ ca foscari";45,4458673;12,31793814
"univ paris saclay";48,70040225;2,170819581
"univ sao paulo";-23,0798736;-48,9248761
"univ massachusetts";42,3858974;-71,22206806
"univ north carolina charlotte";35,2922602;-80,73307375
"norway and univ oslo";59,9197827;10,7717139
"henan univ";35,7711619;114,9507355
"univ almeria";36,8394698;-2,467447926
"univ andres bello";8,3381485;-62,67082061
"theory lab";33,6431742;-117,8555483
"univ illinois";37,936437;-88,6094993
"guangdong univ foreign studies";23,2043067;113,2855028
"univ nebraska";40,83827205;-96,64793042
"cent s univ";43,6657638;-79,4034621
"fujian normal univ";26,04389955;119,30803
"univ athens";33,95690765;-83,37543037
"univ aegean";39,0862969;26,5699006
"univ penn";51,6055436;-0,637315895
"state univ campinas unicamp";-22,8224781;-47,06425993
"paulista univ unip";-23,5656734;-46,6510828
"pukyong natl univ daeyeon";35,1333862;129,1049784
"univ tunku abdul rahman";3,0397932;101,794272
"jouf univ al jouf";29,7851094;40,0354435
"nanchang univ";28,66126865;115,7975974
"univ basque country";43,2962378;-2,8664444
"govt coll univ faisalabad";31,4172466;73,0701464
"govt coll univ";30,21931925;71,47647377
"moscow state law univ";55,7603421;37,6212011
"univ north carolina greensboro";35,088429;-78,904627
"webster univ geneva";46,2569459;6,15208979
"univ newcastle";-32,8870387;151,7098651
"univ toulouse capitole";43,60594355;1,441146547
"univ lisbon";38,73674335;-9,138392289
"plymouth univ";50,3755269;-4,139376874
